2021.06.27 星期日
20:06 6.27台灣阿正有男38政府機關0.5 就肉肉的，要算胖好像也還好
20:07 6.27台灣阿正有男38政府機關0.5 至少確定超過標準體重值xd
20:09 德行天下 這樣很不錯呀
20:09 德行天下 你做俯臥撐可以做多少下
20:14 6.27台灣阿正有男38政府機關0.5 好久沒做了，我也不知道可以做多少
20:14 6.27台灣阿正有男38政府機關0.5 最近應該體力算最差的時候
20:15 德行天下 怎麼這麼說
20:20 6.27台灣阿正有男38政府機關0.5 最近就很少再動
20:20 6.27台灣阿正有男38政府機關0.5 太少運動，體力明顯不好
20:20 德行天下 你平時的工作會很忙嗎
20:20 德行天下 這個沒錯
20:21 6.27台灣阿正有男38政府機關0.5 還算蠻輕鬆的
20:21 6.27台灣阿正有男38政府機關0.5 大多數都坐在辦公室，活動量少
20:21 德行天下 了解
20:22 6.27台灣阿正有男38政府機關0.5 現在盡量能走動就會多動一下
20:22 德行天下 上班的時候都是開車上班嗎
20:22 德行天下 可以選擇騎自行車
20:22 6.27台灣阿正有男38政府機關0.5 我盡量都走路去
20:23 6.27台灣阿正有男38政府機關0.5 上班地點蠻近的
20:23 德行天下 那就好
20:24 德行天下 我基本上都是在健身房放鬆自己
20:24 6.27台灣阿正有男38政府機關0.5 也只有1.5公里，完全不夠
20:24 6.27台灣阿正有男38政府機關0.5 好像還是上健身房效果會好一點
20:25 6.27台灣阿正有男38政府機關0.5 等疫情結束或許還是要上健身房比較適合
20:26 德行天下 對呀
20:27 德行天下 因為在健身房裡面可以進行力量訓練
20:27 德行天下 那個時候我也來到了台灣我們可以組隊
20:27 6.27台灣阿正有男38政府機關0.5 可以喔，我真的需要人督促才會去動，不然真的很容易偷懶
20:28 德行天下 以後我就是你的老師
20:28 德行天下 XD
20:28 德行天下 贴图
20:29 6.27台灣阿正有男38政府機關0.5 那就要麻煩你了，賺到一個健身教練，真的很幸運
20:29 6.27台灣阿正有男38政府機關0.5 贴图
20:30 德行天下 哈哈
20:30 德行天下 承蒙厚愛
20:30 德行天下 贴图
20:31 6.27台灣阿正有男38政府機關0.5 真的很缺一個一起運動的人
20:31 德行天下 我能明白這種感覺
20:31 德行天下 我剛開始鍛煉的時候也是這樣
20:31 德行天下 就是所謂自律
20:31 6.27台灣阿正有男38政府機關0.5 還沒養成習慣前，真的很難繼續運動
20:32 6.27台灣阿正有男38政府機關0.5 尤其第一次要去找健身房真的有點踏不進去
20:32 德行天下 沒錯
20:33 德行天下 只要身體接受這個東西了適應了就好了
20:33 德行天下 健身房是gay的會員中心
20:33 德行天下 哈哈
20:33 6.27台灣阿正有男38政府機關0.5 現在就是差在怎麼起步開始運動
20:33 6.27台灣阿正有男38政府機關0.5 哈哈，好像真的是這樣，蠻多間都是
20:34 德行天下 特別是新的會員第一次進去的時候會被很多異樣的眼光看著XD
20:34 德行天下 是嗎
20:34 6.27台灣阿正有男38政府機關0.5 還會這樣喔
20:34 德行天下 對呀
20:34 6.27台灣阿正有男38政府機關0.5 好像有固定幾間都是gay比較會去的，其他應該是還好
20:35 德行天下 因為我永遠記得我第一次去健身房的時候
20:35 德行天下 就是我剛才描述的那種氣氛
20:35 6.27台灣阿正有男38政府機關0.5 你去的地方真的是健身房嗎
20:35 德行天下 對，只是存在同志多少的問題
20:36 6.27台灣阿正有男38政府機關0.5 畢竟有些人是真的要運動，不想被打擾，應該就比較不會去gay太多的店
20:36 德行天下 對
20:37 德行天下 我去健身房健身的時候就有個別幾個往我身邊湊過來，我就很討厭
20:37 6.27台灣阿正有男38政府機關0.5 這樣感覺會很差
20:38 6.27台灣阿正有男38政府機關0.5 不過如果是幾個人一起去，應該就比較不會有這問題吧
20:38 德行天下 對呀很是讓人反感
20:38 德行天下 也會有，只是存在站的近和遠的問題
20:39 6.27台灣阿正有男38政府機關0.5 付費是要去運動，還被干擾，真的就很不好
20:39 德行天下 干擾是不會的
20:39 德行天下 他們不會主動干擾
20:39 德行天下 最多就是眼神干擾
20:39 6.27台灣阿正有男38政府機關0.5 那就還好
20:39 6.27台灣阿正有男38政府機關0.5 大家看到喜歡的，或練的不錯的，應該多少會注意一下吧
20:40 6.27台灣阿正有男38政府機關0.5 不要一直盯的太過頭就算了，畢竟也沒辦法制止
20:44 德行天下 對
20:45 德行天下 最多也是看看，然後有些膽大的會私底下約喝咖啡或者是要聯繫方式當然了只要你拒絕了他一次，他以後就不會找你了
20:46 6.27台灣阿正有男38政府機關0.5 不會一直糾纏那就還好，不然每次去運動又遇到也很煩人
20:46 6.27台灣阿正有男38政府機關0.5 所以真的有人這麼主動來認識啊
20:47 德行天下 只要你內心一直抱著拒絕的態度他們也不會再關注你
20:48 德行天下 對呀
20:48 德行天下 不用害怕他們的行為相對來說還算紳士
20:49 6.27台灣阿正有男38政府機關0.5 也是，大庭廣眾之下，那些人也不可能太誇張才對
20:50 德行天下 對呀，畢竟那是公共場合
20:51 6.27台灣阿正有男38政府機關0.5 那天跟你去運動可能就知道，到底是什麼情況XD
20:51 德行天下 別擔心我保護你
20:51 德行天下 想請教一下你的角色可以嗎？
20:51 德行天下 不方便的話也沒關係
20:52 6.27台灣阿正有男38政府機關0.5 那就麻煩你了
20:52 6.27台灣阿正有男38政府機關0.5 不分
20:52 6.27台灣阿正有男38政府機關0.5 你呢？
20:52 德行天下 一樣哦
20:52 德行天下 我也是不分
20:55 6.27台灣阿正有男38政府機關0.5 你平常是都多晚休息啊？
20:57 德行天下 11點左右吧
20:57 德行天下 你呢
20:57 6.27台灣阿正有男38政府機關0.5 大概12點左右
20:58 德行天下 這麼晚睡呀
20:58 6.27台灣阿正有男38政府機關0.5 多早就出門上班呢？
20:58 德行天下 那你都是幾點上班呢
20:58 德行天下 10；40
20:58 6.27台灣阿正有男38政府機關0.5 我大概9點前進辦公室
20:59 6.27台灣阿正有男38政府機關0.5 你上班時間蠻晚的
20:59 德行天下 工作性質
20:59 德行天下 我們是三班倒的
20:59 6.27台灣阿正有男38政府機關0.5 下班時間呢？
20:59 德行天下 晚上7點
20:59 德行天下 你呢
20:59 6.27台灣阿正有男38政府機關0.5 三班倒的？什麼意思
21:00 6.27台灣阿正有男38政府機關0.5 三班制嗎？
21:00 6.27台灣阿正有男38政府機關0.5 我是六點左右就下班了
21:00 6.27台灣阿正有男38政府機關0.5 我們上班是比較彈性，早點去就早點下班
21:01 德行天下 我們股市是沒停盤的，24小時都有開盤所以要有人看數據，我是白班，還有晚班，還有補班，三個班
21:01 德行天下 那時間差不多
21:01 德行天下 這樣挺好的呀
21:01 6.27台灣阿正有男38政府機關0.5 原來如此，那的確就是配合股市的時間
21:02 德行天下 沒錯，如果我們要調休的話就是補班上
21:02 德行天下 你有買過股票嗎
21:03 6.27台灣阿正有男38政府機關0.5 很久以前買過，不過之前工作太忙都沒研究
21:03 6.27台灣阿正有男38政府機關0.5 最近是有買書回來看，準備好好研究一下
21:03 德行天下 股市的水是很深的
21:03 6.27台灣阿正有男38政府機關0.5 畢竟光靠工作薪水，雖然生活沒問題，但好像還是不太充足
21:04 6.27台灣阿正有男38政府機關0.5 所以也不太敢亂試
21:04 德行天下 對呀，有的副業比主業還賺錢
21:04 6.27台灣阿正有男38政府機關0.5 讀書時有稍微學一點基礎，不過實際要買就又完全不同
21:04 德行天下 沒錯
21:04 德行天下 實際操作和理論完全是不一樣的
21:05 德行天下 我告訴你一個股市的精髓吧
21:05 德行天下 很多人買了一輩子的股票都沒弄清楚
21:07 德行天下 任何成功的投資除了幸運都需要內線的消息
21:09 6.27台灣阿正有男38政府機關0.5 也是，以我們外部的在看，等接受到相關訊息時，那些人也差不多都賺飽要退場了
21:09 德行天下 沒錯就是這個原題
21:09 德行天下 那些散戶的自我分析只是給自己一種心理上的安慰和運氣上的成分
21:11 6.27台灣阿正有男38政府機關0.5 真的是不太適合隨便踏入那一塊領域
21:13 德行天下 任何東西沒有嘗試過之前都是覺得遙不可及的，
21:15 德行天下 有句話是這麼說的有心插花花不開，無心栽柳柳蔭
21:15 6.27台灣阿正有男38政府機關0.5 對啊，所以很多還是要嘗試過才知道
21:15 德行天下 你交往過幾任男朋友呀阿正
21:15 6.27台灣阿正有男38政府機關0.5 這種事應該還蠻常在現實發生XD
21:15 6.27台灣阿正有男38政府機關0.5 一個
21:16 6.27台灣阿正有男38政府機關0.5 你呢
21:16 德行天下 我交往了三任
21:17 6.27台灣阿正有男38政府機關0.5 你最久交往多久？
21:17 德行天下 3年
21:17 德行天下 我的第一任
21:17 德行天下 初戀
21:17 德行天下 校園的戀情
21:17 6.27台灣阿正有男38政府機關0.5 初戀好像都會比較久一點
21:17 德行天下 XD
21:17 德行天下 對呀
21:17 德行天下 也是我的一個陰影，我很愧疚一想到他
21:17 6.27台灣阿正有男38政府機關0.5 那你也蠻早就接觸這環境了
21:18 6.27台灣阿正有男38政府機關0.5 這樣感覺也不是一個很好的回憶
21:18 6.27台灣阿正有男38政府機關0.5 第一任都會比較刻苦銘心一點
21:18 德行天下 是
21:18 德行天下 怎麼說呢
21:19 德行天下 是
21:19 6.27台灣阿正有男38政府機關0.5 你不是說有陰影嗎？
21:20 德行天下 放在心裡很多年了
21:20 6.27台灣阿正有男38政府機關0.5 學生時期認識的話，相較也會單純很多
21:21 6.27台灣阿正有男38政府機關0.5 不管陰影怎樣，至少也有發生過一些美好的事吧
21:21 德行天下 我覺得老天有時候是在作弄我
21:21 6.27台灣阿正有男38政府機關0.5 怎麼說呢？
21:21 德行天下 對呀，沒有任何的產扎物
21:21 德行天下 肯定是有的
21:22 德行天下 我直到現在都還這麼認為
21:22 德行天下 那個是我的第一任男朋友我們是讀書的時候就認識了
21:23 德行天下 畢竟我們都是同性而且又是第一段感情那種是最深的你也懂
21:23 德行天下 我們那個時候從讀書到步入社會都是在一起的我們一起度過了好多的風風雨雨
21:23 6.27台灣阿正有男38政府機關0.5 可以理解
21:24 德行天下 那個時候我和他互相都是覺得只要我們可以看到彼此，晚上親口都能聽到對方說一聲晚安此生就滿足了，但是那個時候他的母親一直反對我們在一起，雖然我們不能光明正大的在一起，背地裡悄悄的，但是我們兩個依然堅持著
21:24 德行天下 皇天不負有心人後來他的家長同意了
21:25 德行天下 有一天下班了因為他的眼睛不是很好沒有考汽車駕駛證就沒有買汽車我就去接他
21:25 德行天下 我一看時間到點了他要下班我就給他開了一個視訊
21:26 德行天下 我親眼看到他向我走來由於他和我開視訊沒注意路上的交通情況結果被一輛滿載的小型貨車剎車制動距離太近了沒剎住，我親眼看著貨車朝他身上過去
21:27 德行天下 是我親眼看到的你知道那種感覺有多難受嗎我親眼看著自己的愛人
21:28 6.27台灣阿正有男38政府機關0.5 這樣太殘忍了，就在自己面前發生
21:28 德行天下 我抱著他的尸體去醫院搶救那個時候我已經不在乎任何人的看法了我知道他已經死了但是我還是想試一下我想讓他活過來不惜一切代價就算是讓我死我也願意
21:28 6.27台灣阿正有男38政府機關0.5 雖然不能知道哪有多痛，但是肯定是一般無法承受的
21:28 德行天下 所以我覺得老天爺是在作弄我
21:28 德行天下 是現在想起來還是會心疼
21:29 德行天下 很多人的初戀是遙不可及的夢都沒能如願
21:29 6.27台灣阿正有男38政府機關0.5 這種事不可能忘得掉，不過我想他還是會希望你好好過下去
21:30 德行天下 就像我看過一本書叫囚鳥裡面說的一句話，或許相愛的人都不能在一起
21:30 6.27台灣阿正有男38政府機關0.5 初戀不管結果怎樣，至少對方如果好好的，自己也會很欣慰
21:30 德行天下 他一定會這樣想
21:31 德行天下 認同
21:31 德行天下 或許那個時候我有一顆私心這個世界上這麼多的人為什麼這種意外會發生在他的身上
21:31 6.27台灣阿正有男38政府機關0.5 雖然他不在了，不過他也留下很多回憶給你，不管好壞也都是你人生一部分了，也因為有這些才有現在的你
21:31 德行天下 直到現在我還是有陰影放不下
21:32 德行天下 是
21:32 6.27台灣阿正有男38政府機關0.5 人生就是太多意外，所以才更要好好把握現在
21:33 德行天下 一想到這件事情我就恨透了自己當初為什麼要給他開那個視訊，如果不是我開那個視訊，說不定就不會發生著一切
21:34 德行天下 認同，且行好事，莫問前程
21:34 德行天下 得之坦然，失之淡然，順其自然
21:35 6.27台灣阿正有男38政府機關0.5 這種事情誰也不知道
21:35 德行天下 是，我認為是我害了他
21:36 德行天下 等我幾分鐘我穩定下情緒
21:37 6.27台灣阿正有男38政府機關0.5 這種事要讓你這樣講出來，有時候也是很殘忍
21:37 6.27台灣阿正有男38政府機關0.5 說出來你應該又想起很多吧
21:38 6.27台灣阿正有男38政府機關0.5 一件事發生不會只有一個原因，只是太多原因一起發生，才造成這個結果
21:41 6.27台灣阿正有男38政府機關0.5 至少我想，他如果知道你這麼久了都還沒忘記他，他應該也會很欣慰，但也不會希望你一直活在陰影下
21:41 德行天下 沒錯，每當一個人想起的時候心情就很複雜
21:42 德行天下 有的時候我真的是認為老天在作弄我
21:42 6.27台灣阿正有男38政府機關0.5 但至少他的存在也沒被遺忘過
21:43 德行天下 我知道，可我就是過不了自己這一關
21:43 德行天下 這是一定的，深深的埋藏在心底
21:43 6.27台灣阿正有男38政府機關0.5 那就連他的份一起活下去
21:44 6.27台灣阿正有男38政府機關0.5 他也不會希望自己不在了，結果也毀了你的人生
21:44 德行天下 而且要活的精彩
21:44 德行天下 他在地下我相信也是希望我過的幸福吧
21:44 6.27台灣阿正有男38政府機關0.5 是不是要精彩我也不知道，但至少活得像你自己吧
21:44 德行天下 這是必然
21:45 德行天下 我在愛情的路上不是很順吧只能說
21:45 6.27台灣阿正有男38政府機關0.5 大家也是都跌跌撞撞的，受過傷才會成長
21:45 6.27台灣阿正有男38政府機關0.5 只是你傷得蠻重的
21:46 德行天下 最精彩的人生就是愛情事業雙豐收豐收
21:47 6.27台灣阿正有男38政府機關0.5 哈哈
21:47 德行天下 但是對於我來說我只收穫了一種
21:47 德行天下 另外一種對於我來說很難
21:47 6.27台灣阿正有男38政府機關0.5 至少已經達成了一半啊
21:48 6.27台灣阿正有男38政府機關0.5 那就更有動力繼續好好過生活，你還有努力的目標
21:48 德行天下 但是還有一半對於我來說好難
21:48 6.27台灣阿正有男38政府機關0.5 只是好難，又不是做不到
21:48 德行天下 靠緣分
21:49 6.27台灣阿正有男38政府機關0.5 還有心態要改變
21:49 德行天下 我的上一任也被他傷害的很深
21:49 德行天下 背叛
21:49 德行天下 心態一直在慢慢的嘗試
21:49 6.27台灣阿正有男38政府機關0.5 大家不是都看天時地利人和，都對了就會出現了
21:49 6.27台灣阿正有男38政府機關0.5 上一任怎麼了嗎？
21:50 6.27台灣阿正有男38政府機關0.5 總會在遇到一個值得你付出的
21:50 6.27台灣阿正有男38政府機關0.5 你也才40啊
21:50 德行天下 對
21:50 德行天下 在外偷吃
21:50 德行天下 出軌背叛
21:51 德行天下 是
21:51 德行天下 希望這一天可以快點
21:51 6.27台灣阿正有男38政府機關0.5 在圈內真的很常發生
21:51 德行天下 我知道但是我在他身上付出的很多
21:51 6.27台灣阿正有男38政府機關0.5 來台灣換個地點重新開始啊
21:51 德行天下 不管是精神層面上還是物質上
21:51 德行天下 我也是這麼打算
21:52 6.27台灣阿正有男38政府機關0.5 在這環境，這種事好像都無法避免一樣
21:52 6.27台灣阿正有男38政府機關0.5 我也想說你會不會是不想留在那邊而已
21:52 德行天下 拋開精神層面上的東西不說不僅僅是物質上我就給予了他將近200萬美和一輛BMW
21:53 德行天下 如果兩個都是有責任心尊重愛情的人的話就不會發生這樣的事情
21:53 6.27台灣阿正有男38政府機關0.5 這也太恐怖了吧，到底一個人要多壞才能把人這樣利用
21:53 德行天下 我想奔赴台灣移民的想法在心裡萌生了好多次了好久了
21:54 6.27台灣阿正有男38政府機關0.5 一般考量親戚朋友在哪，至少都會想在熟悉的環境
21:54 德行天下 是我給予他的機會
21:54 德行天下 朋友都說他是鹹魚翻身認識我
21:55 6.27台灣阿正有男38政府機關0.5 也只能說你能力夠好才有辦法這樣
21:55 德行天下 怎麼說呢錢不是我直接給他的
21:55 德行天下 我詳細點給你說吧
21:55 6.27台灣阿正有男38政府機關0.5 嗯嗯？
21:58 德行天下 他知道我在金融公司上班，而且他每天晚上有看到操作知道我赚了不少钱，起初问我我什么都没告诉 他也没带他操作，因为我是公司内部人员泄露公司机密是会犯法的我，如果被别人知道说了出去我会被追究法律责任，因为我是公司内部人员知道行情，加上我的叔叔是我们公司的高管我可以知道内幕，只要有内幕的时候操作我就可以带上他赚取稳定的收益就不存在有风险一说了这么说你能明白吗
21:59 6.27台灣阿正有男38政府機關0.5 可以理解
21:59 德行天下 雖然說錢不是我給的但是機會是我給的他
21:59 德行天下 車是我花錢給他買的
22:00 德行天下 頭也不回的開走了
22:00 6.27台灣阿正有男38政府機關0.5 但是你也承擔不少風險啊
22:00 6.27台灣阿正有男38政府機關0.5 他也真的蠻狠心的
22:00 德行天下 是，當初為了愛
22:00 6.27台灣阿正有男38政府機關0.5 所以有時候工作跟感情還是分開點比較好
22:01 德行天下 他出去偷吃是讓我很傷心
22:01 6.27台灣阿正有男38政府機關0.5 所以當局者常常都很盲目啊
22:01 6.27台灣阿正有男38政府機關0.5 雖然我也好不到哪去
22:01 德行天下 我這個人比較懂得分享，做不了那些自私的事情
22:01 6.27台灣阿正有男38政府機關0.5 講別人都很簡單
22:02 6.27台灣阿正有男38政府機關0.5 這也不算自不自私，不過公私沒分清楚，不小心他也會害到你
22:02 6.27台灣阿正有男38政府機關0.5 如果他心態不好，你也很危險
22:02 德行天下 我明白
22:02 德行天下 我就是擔心這個，我怕被舉報
22:03 6.27台灣阿正有男38政府機關0.5 雖然要是我當下應該也會跟你做一樣決定吧，我也不認為我很理性
22:03 德行天下 但是我沒想到會這樣
22:03 6.27台灣阿正有男38政府機關0.5 不過他有賺到的話，大概也不會多講什麼
22:03 德行天下 真誠和善良是做人最基本的原則
22:03 德行天下 希望是如此
22:03 德行天下 我覺得人與人之間的信任是很重要的
22:04 6.27台灣阿正有男38政府機關0.5 真的，所以朋友不用多，重點要遇到好的，值得交的
22:04 德行天下 所以我對任何人都不會去選擇多想，只要我認為是能夠當做朋友的
22:05 德行天下 是的朋友交心最重要，酒肉朋友都沒用
22:06 6.27台灣阿正有男38政府機關0.5 年輕時可以陪你渡過很多無聊的時間吧，可是到這年紀，要的就不是酒肉朋友
22:06 德行天下 是
22:06 德行天下 看得也就更清楚了
22:06 德行天下 透徹
22:07 6.27台灣阿正有男38政府機關0.5 不過也要遇到，你才會有所轉變
22:07 6.27台灣阿正有男38政府機關0.5 這麼多年，你也經歷很多了
22:07 德行天下 每段每一段路，都是一種領悟
22:08 6.27台灣阿正有男38政府機關0.5 讓你成長很多了啊
22:08 德行天下 一個人是否真誠是可以感受得到的
22:09 6.27台灣阿正有男38政府機關0.5 至少你身邊很多人不是都很好嗎
22:09 德行天下 你指的是同志朋友嗎
22:10 6.27台灣阿正有男38政府機關0.5 不管圈內或圈外
22:10 6.27台灣阿正有男38政府機關0.5 應該還是有不少不錯的朋友吧
22:11 德行天下 有的
22:11 德行天下 我身邊的朋友相對來說還是比較真誠的
22:11 6.27台灣阿正有男38政府機關0.5 這樣這些年也算很有收穫啊
22:12 德行天下 但是朋友終究還是不能陪伴我到最後
22:14 6.27台灣阿正有男38政府機關0.5 以後老了也可以把單身的湊一起，大家一起生活也不錯啊，真不得已可以做這個打算，XD
22:15 德行天下 但是我想兩個人在一起是因為愛情而不是因為湊合
22:15 德行天下 因為愛，所以愛
22:22 德行天下 贴图
22:22 6.27台灣阿正有男38政府機關0.5 那個意思是，大家一起生活，但不是愛情那種
22:22 德行天下 額能明白
22:23 德行天下 你希望自己的晚年是什麼樣子的
22:23 6.27台灣阿正有男38政府機關0.5 可以的話當然跟自己喜歡的一起，這樣是最好的
22:23 德行天下 沒錯，這是我人生最大的大一個心願
22:24 6.27台灣阿正有男38政府機關0.5 旁邊有個人陪，不管住在哪裡都沒關係，平常散散步聊過往，去朋友那串個門子，覺得這樣就夠了
22:25 德行天下 我也是這樣覺得的
22:25 6.27台灣阿正有男38政府機關0.5 這在圈內反而是最難的事情
22:25 德行天下 你能接受你的伴侶偷吃嗎
22:26 6.27台灣阿正有男38政府機關0.5 不能接受，但是也抓到好幾次了
22:26 6.27台灣阿正有男38政府機關0.5 我也不知道我幹嘛放不下
22:26 德行天下 我也不能接受
22:26 德行天下 那是因為你沒有接觸更新鮮的事物
22:26 6.27台灣阿正有男38政府機關0.5 上次抓到他都提分手了，是我自己放不開
22:26 6.27台灣阿正有男38政府機關0.5 周圍可以聊的朋友太少，幾乎沒圈內朋友
22:27 6.27台灣阿正有男38政府機關0.5 這也是個問題
22:27 6.27台灣阿正有男38政府機關0.5 沒人可以談心
22:27 德行天下 幹嘛要這樣
22:27 德行天下 你現在認識我了呀
22:28 德行天下 以後都可以和我談
22:28 6.27台灣阿正有男38政府機關0.5 所以我也不懂我在想什麼
22:28 6.27台灣阿正有男38政府機關0.5 這真的很有差，多個可以聊心事的人
22:29 德行天下 等我來台灣到時候我們一起生活吧，我覺得我們的生活方式挺像的，反正他出軌你也可以嘗試下
22:29 德行天下 我也是這麼認為的我已經2年沒這樣聊過天了
22:29 6.27台灣阿正有男38政府機關0.5 好像也是喔，哈哈
22:29 德行天下 一直都是一個人在孤獨中成長
22:30 德行天下 本來就是
22:30 6.27台灣阿正有男38政府機關0.5 我根本沒人可以這樣聊，第一個認識就是他，再來只認識他朋友，根本沒有自己的圈內朋友
22:31 6.27台灣阿正有男38政府機關0.5 現在這樣生活，真的覺得有沒有交往都一樣
22:31 6.27台灣阿正有男38政府機關0.5 我想只是差在，有個人可以打電話過去
22:31 6.27台灣阿正有男38政府機關0.5 雖然不一定可以聊天
22:31 德行天下 對呀所以幹嘛不追求自己新的生活呢
22:32 德行天下 這就沒什麼意義了
22:32 6.27台灣阿正有男38政府機關0.5 前兩天也跟他確認過，不可能住一起，所以這兩天也在思考，我真的要這樣再過個10-20年以上嗎？
22:33 6.27台灣阿正有男38政府機關0.5 生活方式差太多，其實有時候很難相處
22:33 德行天下 這樣你只是在浪費自己的青春
22:34 德行天下 你對感情忠貞不渝，他對感情那是濫竽充數
22:35 6.27台灣阿正有男38政府機關0.5 其實也不能怪他，畢竟他本來就沒有很喜歡我，有時候就是時間地點對了，剛好有個人就在一起了
22:35 德行天下 那就不要在一起了，兩個人在一起三觀不合，這樣會很累很累
22:35 6.27台灣阿正有男38政府機關0.5 所以我們竟然這樣10幾年，真的很難想像
22:36 德行天下 他不想喜歡你那你們為什麼還要在一起，愛情本來就是兩情相悅的事情，單相思那叫暗戀
22:36 6.27台灣阿正有男38政府機關0.5 觀念是有點差異，但至少確定他是個好人，就會讓人放不下
22:36 德行天下 這樣的生活肯定很累
22:37 德行天下 愛情本就是甜蜜的，你靜下心來想想你們現在的生活和，愛情有一點沾邊嗎，愛是甜蜜的，是純潔的，是兩情相悅，互相遵守規則的
22:37 6.27台灣阿正有男38政府機關0.5 感覺交往的第二年他有喜歡上我吧，不過好像還是不夠
22:38 德行天下 世界上好人那麼多，不能因為一點就顛覆了愛情全部的觀念
22:38 6.27台灣阿正有男38政府機關0.5 剛開始就是我單方面很喜歡他而已
22:38 德行天下 那個可能就只是一點點濫情吧
22:39 德行天下 這樣的方式開局就不對了
22:39 6.27台灣阿正有男38政府機關0.5 說好聽一點只是我不想傷害他，說難聽點應該就是不甘心花了這麼多時間吧
22:39 德行天下 你等我一下我洗漱一下
22:39 6.27台灣阿正有男38政府機關0.5 好喔
22:39 6.27台灣阿正有男38政府機關0.5 所以我也沒想過他竟然會答應跟我交往
22:40 德行天下 愛情沒有存在誰傷害誰只存在誰配誰不配
22:46 6.27台灣阿正有男38政府機關0.5 所以到最後發現除了像家人的感覺外，其他都沒有
22:58 德行天下 如果是我這樣的愛情，不要也罷了
22:58 德行天下 沒有一絲的火花
23:00 6.27台灣阿正有男38政府機關0.5 當時候太喜歡了，而且又是初戀
23:00 6.27台灣阿正有男38政府機關0.5 第一次認識圈內人
23:00 德行天下 能理解
23:00 6.27台灣阿正有男38政府機關0.5 什麼都沒接觸過
23:01 德行天下 我洗好了
23:01 6.27台灣阿正有男38政府機關0.5 你也洗蠻快的啊
23:01 德行天下 我能感覺得到你對待愛情是純潔的
23:01 德行天下 很專一
23:01 德行天下 我們是一路人
23:01 6.27台灣阿正有男38政府機關0.5 可是這兩年就沒這樣想，畢竟發生太多次了
23:02 6.27台灣阿正有男38政府機關0.5 有時候也有點迷惘，自己到底想要什麼
23:02 德行天下 你這樣是在縱容她
23:03 6.27台灣阿正有男38政府機關0.5 他就吃定這點吧，所以才會出軌這麼多次
23:03 德行天下 那就不要繼續下去了，真的
23:03 德行天下 這樣繼續下去只會對你造成更大的傷害
23:04 6.27台灣阿正有男38政府機關0.5 而且不管有沒有住在一起時，都發生過，這種根本沒辦法預防
23:04 6.27台灣阿正有男38政府機關0.5 所以才會更覺得彼此在浪費彼此的時間
23:05 德行天下 沒錯，只能靠自己自覺去相守彼此愛的約定
23:05 德行天下 所以果斷一些真的
23:05 德行天下 明天和他說分手吧，人生建議
23:06 6.27台灣阿正有男38政府機關0.5 早點多認識些人，或許就不會拖這麼久吧
23:06 6.27台灣阿正有男38政府機關0.5 應該沒辦法這麼快，很多事我還是想當面說清楚
23:06 德行天下 我寧願單身也不願意這樣相處下去
23:07 德行天下 估計他在外面應該也找人了吧
23:07 6.27台灣阿正有男38政府機關0.5 應該不至於，現在疫情關係沒這麼容易
23:07 德行天下 沉睡的人永遠叫不醒
23:07 6.27台灣阿正有男38政府機關0.5 現在聽到這樣也不像以前那麼生氣
23:08 德行天下 出軌的人永遠回不正
23:08 6.27台灣阿正有男38政府機關0.5 所以我也不認為他會改
23:09 德行天下 因為這這已經形成了一道傷疤一次再一次的在一個地方劃過，結巴了就不痛了
23:09 德行天下 所以也該放下了
23:09 德行天下 當局者迷，旁觀者清
23:10 6.27台灣阿正有男38政府機關0.5 剛開始交往，連他跟圈內人講話都會吃醋，現在還真的沒啥感覺
23:10 6.27台灣阿正有男38政府機關0.5 時間久了，這麼多事情累積下來，真的沖淡了一切
23:10 德行天下 沒錯
23:11 德行天下 不遵守愛情規矩的人不配擁有愛情
23:11 德行天下 沒有規矩不成方圓
23:12 6.27台灣阿正有男38政府機關0.5 其他他也坦承過，他根本不相信愛情，真的只是我死心眼而已
23:12 德行天下 那你為何還要執著下去
23:13 德行天下 你們在根本上就不是一個世界的人
23:14 6.27台灣阿正有男38政府機關0.5 他生活的環境背景造就了現在的他，感覺他情緒一直沒有很穩定，放不太下
23:15 德行天下 拖的越久只會對你自己造成的傷害越大
23:15 德行天下 先懂得愛自己才會有人愛你
23:15 6.27台灣阿正有男38政府機關0.5 所以這一兩年，有更多時間沈靜下來，反思了一下，就覺得我到底在過什麼人生，浪費了很多時間
23:16 6.27台灣阿正有男38政府機關0.5 以前自己的期許，好像什麼也都沒做到
23:17 德行天下 對呀
23:17 德行天下 所以真的該放下了阿正
23:17 德行天下 拿得起才能放得下
23:17 德行天下 或許一段新的戀情更加的適合你
23:17 6.27台灣阿正有男38政府機關0.5 會的，其實這對他也是一個解脫
23:18 德行天下 你這麼想就對了
23:18 6.27台灣阿正有男38政府機關0.5 我能做也幾乎都做了，其實有沒有我應該是沒什麼差
23:18 德行天下 對於他來說可能你在他心目中就是一顆甩不開的老屎
23:19 德行天下 沒錯
23:19 6.27台灣阿正有男38政府機關0.5 我是覺得他剩下只有愧疚感吧，不然真的沒有感情
23:19 德行天下 所以你根本沒必要在乎這段沒有規矩的戀情
23:19 德行天下 愧疚和愛情是不沾邊的
23:20 德行天下 或許當個朋友會更好
23:20 德行天下 不愛，但是也不傷害
23:20 6.27台灣阿正有男38政府機關0.5 愧疚造成他不敢跟我說分手
23:20 德行天下 但是這樣只會讓你們互相的傷害更大
